IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.245.86.230,8443,true,SG,Asia Pacific,Singapore,250 ms,8233 kB/s
47.236.80.110,2087,true,SG,Asia Pacific,Singapore,242 ms,8216 kB/s
8.222.214.231,2096,true,SG,Asia Pacific,Singapore,243 ms,8087 kB/s
47.76.159.146,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,7819 kB/s
8.222.214.231,8443,true,SG,Asia Pacific,Singapore,243 ms,7671 kB/s
47.245.86.230,2053,true,SG,Asia Pacific,Singapore,229 ms,7576 kB/s
47.236.253.41,2087,true,SG,Asia Pacific,Singapore,232 ms,7300 kB/s
47.237.100.206,2096,true,SG,Asia Pacific,Singapore,224 ms,7232 kB/s
47.237.94.140,2083,true,SG,Asia Pacific,Singapore,249 ms,7175 kB/s
47.237.95.146,2096,true,SG,Asia Pacific,Singapore,222 ms,7004 kB/s
47.76.159.146,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,6959 kB/s
47.237.95.140,2053,true,SG,Asia Pacific,Singapore,237 ms,6945 kB/s
8.222.134.170,2087,true,SG,Asia Pacific,Singapore,237 ms,6817 kB/s
47.237.0.31,2083,true,SG,Asia Pacific,Singapore,234 ms,6753 kB/s
47.236.254.120,2083,true,SG,Asia Pacific,Singapore,246 ms,6637 kB/s
47.76.33.40,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,6624 kB/s
8.219.42.72,2096,true,SG,Asia Pacific,Singapore,243 ms,6582 kB/s
47.237.84.173,2087,true,SG,Asia Pacific,Singapore,238 ms,6578 kB/s
47.242.171.94,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,6557 kB/s
47.76.159.146,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,6338 kB/s
47.237.11.182,2096,true,SG,Asia Pacific,Singapore,239 ms,6290 kB/s
47.237.10.1,2096,true,SG,Asia Pacific,Singapore,229 ms,6268 kB/s
47.237.84.173,2053,true,SG,Asia Pacific,Singapore,256 ms,6248 kB/s
47.237.100.206,2087,true,SG,Asia Pacific,Singapore,244 ms,6229 kB/s
47.236.158.158,2083,true,SG,Asia Pacific,Singapore,224 ms,6222 kB/s
47.237.92.26,8443,true,SG,Asia Pacific,Singapore,237 ms,6180 kB/s
47.236.93.176,2083,true,SG,Asia Pacific,Singapore,239 ms,6108 kB/s
47.237.83.20,2096,true,SG,Asia Pacific,Singapore,228 ms,6101 kB/s
8.219.174.213,2087,true,SG,Asia Pacific,Singapore,254 ms,6066 kB/s
8.219.174.213,2053,true,SG,Asia Pacific,Singapore,225 ms,5921 kB/s
47.237.84.173,2096,true,SG,Asia Pacific,Singapore,225 ms,5910 kB/s
8.219.174.213,8443,true,SG,Asia Pacific,Singapore,218 ms,5781 kB/s
47.237.82.15,8443,true,SG,Asia Pacific,Singapore,244 ms,5774 kB/s
